Acceleration,Brake,Steering,Speed,TrackPosition,TrackAngle,TrackEdge0,TrackEdge1,TrackEdge2,TrackEdge3,TrackEdge4,TrackEdge5,TrackEdge6,TrackEdge7,TrackEdge8,TrackEdge9,TrackEdge10,TrackEdge11,TrackEdge12,TrackEdge13,TrackEdge14,TrackEdge15,TrackEdge16,TrackEdge17,TrackEdge18
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
1,0,-0.0285592135,0,0.333332,0,4.00001,4.14111,5.22164,6.9738,11.6952,15.4548,23.0351,45.8949,200,200,200,91.7896,46.0701,30.9096,23.3904,13.9476,10.4432,8.2822,7.99999
